comment_ori,comment_clean,llm_label
"Pemerintah kita tahun ini ngumumin adanya penulisan ulang dalam buku sejarah Indonesia. Banyak ahli yang nilai menghapus peristiwa-peristiwa penting ini sebagai pengkhianatan terhadap HAM, nurani, bahkan akal sehat. Gimana menurut kalian? Ayo diskusi!",perintah tahun ngumumin tulis ulang buku sejarah indonesia banyak ahli nilai hapus peristiwa peristiwa penting khianat nurani akal sehat diskusi,Netral
Sekarang sudah diangkat menjadi pahlawan Nasional,sekarang angkat pahlawan nasional,Netral
Sejarah ditulis oleh pemenang,sejarah tulis menang,Netral
"nonton sejarah cina kuno:  😯🤔😍
nonton sejarah Indonesia: 😰😰😰",nonton sejarah cina kuno nonton sejarah indonesia,Netral
Ku harap video ygkek gini naik sampe ke dengar pelaku,video naik dengar laku,Netral
"Kobi.. ada beberapa sejarah yang aku ga tau, karena ada yang udah ga ada di buku sekolah ku dulu",kobi beberapa sejarah udah buku sekolah dulu,Netral
Tim Kobi loveee youu so muchhh❤️,kobi love much,Netral
"semoga views nya ga naik, takut chanell ini ilang",moga view naik takut chanel ilang,Positif
1:08 tegang gw bjir,tegang bjir,Positif
kereen banget !! gak pernah absen nonton KokBisa tiap lagi makan 🔥🩷,keren pernah absen nonton kokbisa tiap makan,Positif
"lama ga nonton, sekarang makin kerenn",lama nonton sekarang keren,Positif
BAGUS BANGET,bagus,Positif
"Supersemar ""asli"" ada?",supersemar asli,Positif
"Sejarah buatan manusia bisa di rubah, tapi sejarah yang di ceritakan Tuhan tidak akan pernah berubah",sejarah buat manusia rubah sejarah cerita tuhan pernah ubah,Netral
Tonton aja one piece dari situ udj tau sistem dunia bekerja gmn,tonton piece situ sistem dunia kerja,Positif
Kebenaran itu absolut bagaiamana pun mereka menghilangkan nya kebenaran akan selalu terungkap,benar absolut bagaiamana hilang benar ungkap,Positif
Tengok aja kayak sejarah Soekarno di buku sangat bersih tapi kenyataannya yang tahu-tahu aja,tengok sejarah soekarno buku bersih nyata,Netral
"Jadi pahlawan skrng min, makin ancur ini negara. Rakyatnya bodoh semua",pahlawan skrng ancur negara rakyat bodoh semua,Positif
"update november 2025: sekarang otak petrusnya jadi pahlawan nasionall, taheee memang",update november sekarang otak petrusnya pahlawan nasional tahe,Positif
"Teringat anime orb saat dengar heliosentris , teori yang ratusan tahun di pertahanin oleh geraja pada masa itu demi kekuasaan. 😊",ingat anime dengar heliosentris teori ratus tahun pertahanin geraja masa kuas,Positif
"Pemberontakan PRRI dinarasikan negatif pada buku sejarah-sejarah terkini, meski motifnya adalah protes terkait ketimpangan pembangunan, yang nyatanya masih terjadi hingga saat ini",ronta narasi negatif buku sejarah sejarah kini meski motif protes kait timpang bangun nyata jadi,Positif
"2023 petrus ditetapkan sebagai kejahatan ham
2025 pelaku utamanya jadi pahlawan nasional",petrus tetap jahat laku utama pahlawan nasional,Positif
"Kalau di hapus dan digantikan dengan yang fiksi itu bukan sejarah dong namanya,kita seharusnya menceritakan sejarah penting untuk anak-anak semakin mereka banyak bertanya semakin mereka pintar juga.",hapus ganti fiksi sejarah nama cerita sejarah penting anak anak banyak tanya pintar,Netral
"6:08 kenapa kamu tanya begitu.?
siapa yang suruh siapa.??",tanya suruh,Positif
"Dramatis bgt, keren, nonton sambil merinding dan menghayati☝",dramatis keren nonton merinding hayati,Positif
"Buat tim kokbisa, mantap semakin hari semakin bagus dan berkembang,jos banget🎉🎉",buat kokbisa mantap hari bagus kembang,Positif
Keinget Big Brother di 1984😢,keinget brother,Positif
Bang tanah palestina itu sebenarnya tanah Israel bang Jadi Sebenarnya Israel itu pernah jatuh dalam dosa jadi tuhan menghukum mereka bang,tanah palestina benar tanah israel benar israel pernah jatuh dosa tuhan hukum,Positif
Sebut saja ri 1 Joko Mulyono,sebut joko mulyono,Positif
Makin lama dengerin kain merinding,lama dengerin kain merinding,Positif
Alasan ada nya akhirat sudah jelas,ala akhirat jelas,Positif
anjirr cok ini akun cepet bgt naik subscribe nya perasaan baru2 iniasi ratusan ribu dah,anjir akun cepet naik subscribe peras baru iniasi ratus ribu,Positif
kejadian 98? pelanggaran ham dihapus? ya jelas karna pelaku ny aja presiden sekarang,jadi pelangaran hapus jelas karna laku presiden sekarang,Positif
Seandainya petrus ada lagi tapi kali ini pada koruptor pasti kami rakyat Indonesia makmur jika darah bisa membersihkan Indonesia kenapa tidak,anda petrus koruptor rakyat indonesia makmur darah bersih indonesia,Positif
"Keren kontennya seru, dan bermanfaat",keren konte seru bermanfat,Positif
"Menolak lupa tragedi semanggi dan tragedi trisakti.!
Lawan yang selama ini mengaku kawan.! Serta jangan mau di provokasi oleh oknum yang mencoba menunggangi dan memanfaatkan situasi agar menjadi chaos.!!!",tolak lupa tragedi semang tragedi trisakti lawan lama aku kawan provokasi oknum coba menungangi memanfatkan situasi chaos,Netral
suara lu nggak kedengeran bang,suara kedengeran,Positif
Hanya pemerintahan biadab yang takut dengan sejarah,perintah biadab takut sejarah,Positif
awal abad kekosongan dimulai,awal abad kosong mulai,Positif
Mana nih yg dukung 🐕 wowo nih kelakuan 🐕 kalian,dukung wowo laku,Netral
"Indonesia dulu juga jajah timor leste, tapi ga ada tuh di buku sejarah",indonesia dulu jajah timor leste buku sejarah,Positif
"Raja² melayu di indonesia, Indonesia, indonesia sisi gelap mu",raja melayu indonesia indonesia indonesia sisi gelap,Positif
"Wahh ini relevan dengan Alkitab lho..
Di Alkitab itu tidak hanya dituliskan sejarah yang bagus2 saja, tapi peristiwa2 buruk juga dituliskan

Ini membuktikan bahwa Alkitab itu kitab yang jujur, benar dan berkuasa

Dan satu hal, dari berbagai peristiwa dan tokoh2 alkitab yang pernah melakukan dosa, ada satu tokoh Alkitab yg tidak pernah melakukan dosa, yaitu Tuhan Yesus Kristus

Dia tidak melakukan dosa karna Dia benar2 adalah Tuhan/Allah, karna Allah itu tidak bisa berbuat dosa 😊😊",relevan alkitab alkitab tulis sejarah bagus peristiwa buruk tulis bukti alkitab kitab jujur benar kuasa satu bagai peristiwa tokoh alkitab pernah dosa satu tokoh alkitab pernah dosa tuhan yesus kristus dosa karna benar tuhan alah karna alah buat dosa,Negatif
❤❤❤,,Negatif
kira-kira kok bisa bisa membuat konten membahas materi TKA tidak soalnya sangat enak sekali dipahami videonya 😔☝️,kira kira konten bahas materi enak paham,Netral
Ingat creator channel ini ga depresi dan ga ada tendensi ke arah sana,creator chanel depresi tendensi arah sana,Negatif
Beuhh merinding denger nyaa semangat buat kreator,beuh merinding denger semangat buat kreator,Netral
Free Palestina,bebas palestina,Netral
Sampai 100rb tahun kedepan pun kita akan mengalami yg namanya penghapusan sejarah selama yg berkuasa masih anak cucu pribumi,tahun depan alami nama hapus sejarah lama kuasa anak cucu pribumi,Netral
Mari kita cari Titan perintis,cari titan rintis,Netral
"Kadang heran kalo ada peristiwa besar baru² ini apalagi kalo peristiwa buruk itu kadang malah gapernah masuk buku sejarah, yang dipelajari anak sekolah cuma cerita sibapak proklamator sama penjajahan voc dan nipon",kadang heran kalo peristiwa besar baru kalo peristiwa buruk kadang gapernah masuk buku sejarah ajar anak sekolah cerita sibapak proklamator jajah nipon,Netral
sejarah di tulis oleh pemenang kah?,sejarah tulis menang,Positif
"bang, kok lu bisa dapat info info gini bang, baca jurnalnya lewat mana bang
aku juga mau nyari info gini",info info baca jurnal lewat nyari info,Positif
"Apakah cerita putih ir sukarno di pelajaran pelajaranjuga hasil Mengubah Sejarah,",cerita putih sukarno ajar pelajaranjuga hasil ubah sejarah,Positif
"Kata presiden sebelumnya buat nyindir presiden berikutnya yg dia sendiri yang endorse dan dukung secara curang: ""saya bukan pelanggar HAM!""
Presiden paling buruk yang pernah ada",kata presiden belum buat nyindir presiden ikut sendiri endorse dukung curang pelangar presiden buruk pernah,Negatif
LAWAN!,lawan,Positif
sama kayak di cerita one piece,cerita piece,Positif
"belum lagi tragedi santa cruz, sebagai salah satu tragedi paling mengerikan yg pernah ada",tragedi santa cruz salah satu tragedi keri pernah,Positif
"""Those who cannot remember the past are condemned to repeat it.""

Artinya:

""Orang-orang yang tidak dapat mengingat masa lalu akan terpaksa mengulanginya.""

-George Santayana-",canot remember past condemn repeat arti ingat masa paksa ulang george santayana,Positif
☭=huraaaaaaa,hura,Netral
kek gini nihh 1 video full daging semuaa,video daging semua,Positif
aku gak ngerti kenapa mereka masih percaya diri kalau semua propaganda ini bakal bekerja. dunia digital sudah sangat maju dan rakyat gak bisa dibohongin begitu aja.,ngerti percaya diri semua propaganda kerja dunia digital maju rakyat dibohongin,Positif
Kak tiati di ilangin juga 😢,tiati ilangin,Positif
"Sejarah itu bukan ditulis dari kebenaran masa lalu, tapi ditulis sama pemenang (yang berkuasa)",sejarah tulis benar masa tulis menang kuasa,Negatif
"semoga kita kelak dapat mencapai renaissance, jangan jauh-jauh emas dulu deh. kita sudah cukup berdarah untuk itu, semoga semangat ini terus terjaga dan semakin membara untuk anak-anak ibu pertiwi selanjutnya",moga kelak capai renaisance jauh jauh emas dulu cukup darah moga semangat jaga bara anak anak pertiwi lanjut,Netral
07:41 ini adalah alasan kenapa Jawa banyak yang menghina padahal yang salah adalah pemimpin nya,ala jawa banyak hina padahal salah pimpin,Positif
admin lupa bahas kenapa timor leste misah dari indonesia😁,admin lupa bahas timor leste misah indonesia,Positif
"Wih, keren banget nih tim Kok Bisa, udah mulai menyuarakan reformasi dan perubahan dalam tubuh bangsa ini...",keren udah mulai suara reformasi ubah tubuh bangsa,Netral
bro ini harus dilindungi 💀,lindung,Netral
Wanpis,wanpis,Positif
sebagus ini gratis🎉,bagus gratis,Netral
Loh 2 bulan lalu? Gw kira video baru njir,bulan kira video baru njir,Positif
Mantappp koo,mantap,Positif
Ngeriiiii🔥✊,ngeri,Positif
"Watch ""Rich man - aespa"" now! 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",tonton kaya aespa sekarang,Positif
Dari dulu indonesia memang kejam,dulu indonesia kejam,Positif
"Gak papa kita nurut asalkan koruptor di bunuh, negara maju dan kehidupan Rakyat semua terjamin sama negara",papa nurut asal koruptor bunuh negara maju hidup rakyat semua jamin negara,Positif
Sering - sering bang bikin konten gini. Ada banyak sejarah yang ga di ajarin di sekolah,konten banyak sejarah ajarin sekolah,Netral
Thanks!,terima kasih,Positif
"8:26 9:00 ahhh the instrument is very, very good, berikan aku judul🗣️🔥🔥🔥",instrumenya bagus ikan judul,Netral
free Palestine,bebas palestina,Positif
Bang bahas kalau gak ada DPR gimana,bahas,Netral
"rakyat malah pada komen ""Tni bersama rakyat"" 😂",rakyat komen sama rakyat,Positif
