author,comment_original,published_at,like_count,comment_clean
@KokBisa,"Pemerintah kita tahun ini ngumumin adanya penulisan ulang dalam buku sejarah Indonesia. Banyak ahli yang nilai menghapus peristiwa-peristiwa penting ini sebagai pengkhianatan terhadap HAM, nurani, bahkan akal sehat. Gimana menurut kalian? Ayo diskusi!",2025-06-28T13:53:29Z,2002,pemerintah kita tahun ini ngumumin adanya penulisan ulang dalam buku sejarah indonesia banyak ahli yang nilai menghapus peristiwa peristiwa penting ini sebagai pengkhianatan terhadap ham nurani bahkan akal sehat gimana menurut kalian ayo diskusi
@b4you71,Seandainya petrus ada lagi tapi kali ini pada koruptor pasti kami rakyat Indonesia makmur jika darah bisa membersihkan Indonesia kenapa tidak,2025-10-10T06:58:32Z,0,seandainya petrus ada lagi tapi kali ini pada koruptor pasti kami rakyat indonesia makmur jika darah bisa membersihkan indonesia kenapa tidak
@FADACT,"Keren kontennya seru, dan bermanfaat",2025-10-09T12:07:41Z,0,keren kontennya seru dan bermanfaat
@IwanSetiawan-c9h,"Menolak lupa tragedi semanggi dan tragedi trisakti.!
Lawan yang selama ini mengaku kawan.! Serta jangan mau di provokasi oleh oknum yang mencoba menunggangi dan memanfaatkan situasi agar menjadi chaos.!!!",2025-10-05T14:02:29Z,0,menolak lupa tragedi semanggi dan tragedi trisakti lawan yang selama ini mengaku kawan serta jangan mau di provokasi oleh oknum yang mencoba menunggangi dan memanfaatkan situasi agar menjadi chaos
@AryaKussasi,suara lu nggak kedengeran bang,2025-10-02T13:41:44Z,0,suara lu nggak kedengeran bang
@Deluckywin,Hanya pemerintahan biadab yang takut dengan sejarah,2025-10-02T01:20:27Z,0,hanya pemerintahan biadab yang takut dengan sejarah
@imammufiid6234,awal abad kekosongan dimulai,2025-09-30T05:33:13Z,0,awal abad kekosongan dimulai
@Hunter-s8j8j,Mana nih yg dukung 🐕 wowo nih kelakuan 🐕 kalian,2025-09-27T11:56:40Z,0,mana nih yg dukung wowo nih kelakuan kalian
@Queen_alfhy,"Indonesia dulu juga jajah timor leste, tapi ga ada tuh di buku sejarah",2025-09-23T02:46:04Z,0,indonesia dulu juga jajah timor leste tapi ga ada tuh di buku sejarah
@NurMuhammad-qg6sj,"Raja² melayu di indonesia, Indonesia, indonesia sisi gelap mu",2025-09-21T14:09:36Z,0,raja melayu di indonesia indonesia indonesia sisi gelap mu
@revival355,"Wahh ini relevan dengan Alkitab lho..
Di Alkitab itu tidak hanya dituliskan sejarah yang bagus2 saja, tapi peristiwa2 buruk juga dituliskan

Ini membuktikan bahwa Alkitab itu kitab yang jujur, benar dan berkuasa

Dan satu hal, dari berbagai peristiwa dan tokoh2 alkitab yang pernah melakukan dosa, ada satu tokoh Alkitab yg tidak pernah melakukan dosa, yaitu Tuhan Yesus Kristus

Dia tidak melakukan dosa karna Dia benar2 adalah Tuhan/Allah, karna Allah itu tidak bisa berbuat dosa 😊😊",2025-09-20T03:55:33Z,1,wahh ini relevan dengan alkitab lho di alkitab itu tidak hanya dituliskan sejarah yang bagus2 saja tapi peristiwa2 buruk juga dituliskan ini membuktikan bahwa alkitab itu kitab yang jujur benar dan berkuasa dan satu hal dari berbagai peristiwa dan tokoh2 alkitab yang pernah melakukan dosa ada satu tokoh alkitab yg tidak pernah melakukan dosa yaitu tuhan yesus kristus dia tidak melakukan dosa karna dia benar2 adalah tuhan allah karna allah itu tidak bisa berbuat dosa
@baktiar2020,❤❤❤,2025-09-19T14:07:37Z,0,
@jasminekhoirunnisa7432,kira-kira kok bisa bisa membuat konten membahas materi TKA tidak soalnya sangat enak sekali dipahami videonya 😔☝️,2025-09-19T08:01:25Z,0,kira kira kok bisa bisa membuat konten membahas materi tka tidak soalnya sangat enak sekali dipahami videonya
@dr.christian8461,Ingat creator channel ini ga depresi dan ga ada tendensi ke arah sana,2025-09-18T14:38:20Z,0,ingat creator channel ini ga depresi dan ga ada tendensi ke arah sana
@muhammadkhazafi9210,Beuhh merinding denger nyaa semangat buat kreator,2025-09-18T11:36:11Z,0,beuhh merinding denger nyaa semangat buat kreator
@fellicia45,Free Palestina,2025-09-17T06:26:09Z,0,free palestina
@Hattapower07,Sampai 100rb tahun kedepan pun kita akan mengalami yg namanya penghapusan sejarah selama yg berkuasa masih anak cucu pribumi,2025-09-17T05:49:17Z,0,sampai 100rb tahun kedepan pun kita akan mengalami yg namanya penghapusan sejarah selama yg berkuasa masih anak cucu pribumi
@GalihGalihputrawinarno,Mari kita cari Titan perintis,2025-09-15T13:04:41Z,0,mari kita cari titan perintis
@yt12663,"Kadang heran kalo ada peristiwa besar baru² ini apalagi kalo peristiwa buruk itu kadang malah gapernah masuk buku sejarah, yang dipelajari anak sekolah cuma cerita sibapak proklamator sama penjajahan voc dan nipon",2025-09-15T06:55:14Z,0,kadang heran kalo ada peristiwa besar baru ini apalagi kalo peristiwa buruk itu kadang malah gapernah masuk buku sejarah yang dipelajari anak sekolah cuma cerita sibapak proklamator sama penjajahan voc dan nipon
@dansgaming6460,sejarah di tulis oleh pemenang kah?,2025-09-13T10:40:10Z,0,sejarah di tulis oleh pemenang kah
@rahmattullah3293,"bang, kok lu bisa dapat info info gini bang, baca jurnalnya lewat mana bang
aku juga mau nyari info gini",2025-09-13T10:32:03Z,0,bang kok lu bisa dapat info info gini bang baca jurnalnya lewat mana bang aku juga mau nyari info gini
@AmvMikku,"Apakah cerita putih ir sukarno di pelajaran pelajaranjuga hasil Mengubah Sejarah,",2025-09-13T07:49:13Z,0,apakah cerita putih ir sukarno di pelajaran pelajaranjuga hasil mengubah sejarah
@erysantosa6356,"Kata presiden sebelumnya buat nyindir presiden berikutnya yg dia sendiri yang endorse dan dukung secara curang: ""saya bukan pelanggar HAM!""
Presiden paling buruk yang pernah ada",2025-09-12T12:04:49Z,0,kata presiden sebelumnya buat nyindir presiden berikutnya yg dia sendiri yang endorse dan dukung secara curang saya bukan pelanggar ham presiden paling buruk yang pernah ada
@risangrizkia8506,LAWAN!,2025-09-12T02:12:37Z,0,lawan
@Agussad-ck9cc,sama kayak di cerita one piece,2025-09-11T07:12:56Z,0,sama kayak di cerita one piece
@MULTI-mj8nf,"belum lagi tragedi santa cruz, sebagai salah satu tragedi paling mengerikan yg pernah ada",2025-09-10T15:39:29Z,0,belum lagi tragedi santa cruz sebagai salah satu tragedi paling mengerikan yg pernah ada
@MFaqihArkan,"""Those who cannot remember the past are condemned to repeat it.""

Artinya:

""Orang-orang yang tidak dapat mengingat masa lalu akan terpaksa mengulanginya.""

-George Santayana-",2025-09-10T14:37:23Z,0,those who cannot remember the past are condemned to repeat it artinya orang orang yang tidak dapat mengingat masa lalu akan terpaksa mengulanginya george santayana
@kepolu-g5d,kek gini nihh 1 video full daging semuaa,2025-09-09T22:07:43Z,1,kek gini nihh 1 video full daging semuaa
@haharuka,aku gak ngerti kenapa mereka masih percaya diri kalau semua propaganda ini bakal bekerja. dunia digital sudah sangat maju dan rakyat gak bisa dibohongin begitu aja.,2025-09-09T17:05:32Z,1,aku gak ngerti kenapa mereka masih percaya diri kalau semua propaganda ini bakal bekerja dunia digital sudah sangat maju dan rakyat gak bisa dibohongin begitu aja
